inflow,rep,update,partner,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
250,10,45000,host,49036,346,10,19,16,9,5,0,0
250,10,45000,symbiont,0,0,0,0,0,0,0,0,0
250,10,46000,host,49058,347,7,15,18,9,6,0,0
250,10,46000,symbiont,0,0,0,0,0,0,0,0,0
250,10,47000,host,48560,350,12,26,21,11,15,0,0
250,10,47000,symbiont,0,0,0,0,0,0,0,0,0
250,10,48000,host,48587,435,9,28,25,11,10,0,0
250,10,48000,symbiont,0,0,0,0,0,0,0,0,0
250,10,49000,host,48852,591,7,16,15,13,4,0,0
250,10,49000,symbiont,0,0,0,0,0,0,0,0,0
250,10,50000,host,48407,621,12,25,24,11,10,0,0
250,10,50000,symbiont,0,0,0,0,0,0,0,0,0
250,11,0,host,0,0,0,0,0,0,0,0,0
250,11,0,symbiont,0,0,0,0,0,0,0,0,0
250,11,1000,host,52050,61,4,11,7,1,1,0,0
250,11,1000,symbiont,0,0,0,0,0,0,0,0,0
250,11,2000,host,49976,141,6,6,5,0,2,0,0
250,11,2000,symbiont,0,0,0,0,0,0,0,0,0
250,11,3000,host,49762,227,3,15,7,5,0,0,0
250,11,3000,symbiont,0,0,0,0,0,0,0,0,0
250,11,4000,host,49549,300,5,12,11,2,4,0,0
250,11,4000,symbiont,0,0,0,0,0,0,0,0,0
250,11,5000,host,49654,305,6,10,6,4,0,0,0
250,11,5000,symbiont,0,0,0,0,0,0,0,0,0
250,11,6000,host,49086,454,9,18,10,6,8,0,0
250,11,6000,symbiont,0,0,0,0,0,0,0,0,0
250,11,7000,host,49187,501,6,20,6,6,6,0,0
250,11,7000,symbiont,0,0,0,0,0,0,0,0,0
250,11,8000,host,49328,496,5,12,7,8,3,0,0
250,11,8000,symbiont,0,0,0,0,0,0,0,0,0
250,11,9000,host,49143,517,7,16,10,4,6,0,0
250,11,9000,symbiont,0,0,0,0,0,0,0,0,0
250,11,10000,host,49063,520,10,13,13,6,6,0,0
250,11,10000,symbiont,0,0,0,0,0,0,0,0,0
250,11,11000,host,49269,535,8,13,9,6,2,0,0
250,11,11000,symbiont,0,0,0,0,0,0,0,0,0
250,11,12000,host,49006,564,8,15,16,5,7,0,0
250,11,12000,symbiont,0,0,0,0,0,0,0,0,0
250,11,13000,host,49332,523,2,13,13,9,3,0,0
250,11,13000,symbiont,0,0,0,0,0,0,0,0,0
250,11,14000,host,49198,526,12,12,8,4,5,0,0
250,11,14000,symbiont,0,0,0,0,0,0,0,0,0
250,11,15000,host,49232,504,7,16,10,6,3,0,0
250,11,15000,symbiont,0,0,0,0,0,0,0,0,0
250,11,16000,host,49043,525,6,18,17,8,6,0,0
250,11,16000,symbiont,0,0,0,0,0,0,0,0,0
250,11,17000,host,49217,499,3,20,12,4,3,0,0
250,11,17000,symbiont,0,0,0,0,0,0,0,0,0
250,11,18000,host,49306,506,2,10,11,4,4,0,0
250,11,18000,symbiont,0,0,0,0,0,0,0,0,0
250,11,19000,host,49287,502,8,15,11,0,3,0,0
250,11,19000,symbiont,0,0,0,0,0,0,0,0,0
250,11,20000,host,49302,476,6,14,4,2,6,0,0
250,11,20000,symbiont,0,0,0,0,0,0,0,0,0
