rep, VT_rate, phenotype, count, partner
25, NONE, 0000000000000000000000000000000000000000000000000000000000011010, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 187, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 11, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000101011, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 16, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 9, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 4, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 4, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7482, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 818, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 583, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 737, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 5, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 22, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 21, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 25, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 5, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 2, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000101000, 1, host
25, NONE, 0000000000000000000000000000000000000000000000000000000010000110, 2, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000001110, 2, host
25, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 4, host
26, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
27, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 10000, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000100110, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000011100, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001110, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000011010, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000001001001, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010010, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000001000001, 6, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010111, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 8, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000100010, 3, host
28, NONE, 0000000000000000000000000000000000000000000000000000000001010001, 6, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 22, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001000, 46, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 75, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 323, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 16, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000000, 7025, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000001, 1934, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000011000, 6, host
28, NONE, 0000000000000000000000000000000000000000000000000000000001000000, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010001, 166, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000110001, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000010, 242, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000011001, 8, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010100, 10, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000110, 3, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010000, 51, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000111, 1, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 5, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000000101, 8, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001011, 13, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000101001, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000111001, 2, host
28, NONE, 0000000000000000000000000000000000000000000000000000000000001010, 4, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000100110, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010011, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000100001, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000001100, 3, host
29, NONE, 0000000000000000000000000000000000000000000000000000000010001010, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000001110, 3, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000010101, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000100011, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000011110, 1, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000011, 75, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000000100, 202, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000001001, 85, host
29, NONE, 0000000000000000000000000000000000000000000000000000000000100000, 12, host
