vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,14,165000,host,0,0,0,86974,9285,227,300809,301,186,167,8,2
No symbiont,14,170000,host,0,0,0,82359,11505,185,301033,329,193,157,3,9
No symbiont,14,175000,host,0,0,0,88861,13686,215,299920,333,192,153,8,1
No symbiont,14,180000,host,0,0,0,94028,14516,227,299111,387,215,151,17,0
No symbiont,14,185000,host,0,0,0,100715,12611,215,298447,379,209,168,9,4
No symbiont,14,190000,host,0,0,0,111384,11934,279,296827,400,257,209,11,5
No symbiont,14,195000,host,0,0,0,109757,12024,237,297281,365,219,178,17,1
No symbiont,14,200000,host,0,0,0,81661,11850,183,301624,257,158,131,15,0
No symbiont,15,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,15,5000,host,0,0,0,2.48415e+06,1172,715,725,741,133,103,0,0
No symbiont,15,10000,host,0,0,0,2.47345e+06,2448,572,672,589,220,153,0,0
No symbiont,15,15000,host,0,0,0,2.17293e+06,4582,458,827,608,282,224,0,0
No symbiont,15,20000,host,0,0,0,1.80975e+06,6020,404,779,525,256,248,0,0
No symbiont,15,25000,host,0,0,0,1.61646e+06,9445,439,822,570,328,230,0,0
No symbiont,15,30000,host,0,0,0,1.50526e+06,12679,465,856,603,283,319,6,0
No symbiont,15,35000,host,0,0,0,1.43127e+06,16075,455,1021,643,358,311,0,0
No symbiont,15,40000,host,0,0,0,1.34912e+06,14780,490,1067,760,409,333,4,0
No symbiont,15,45000,host,0,0,0,1.32887e+06,16580,544,1181,921,435,431,3,0
No symbiont,15,50000,host,0,0,0,1.28727e+06,19567,720,2030,940,555,394,2,0
No symbiont,15,55000,host,0,0,0,1.2396e+06,22037,693,2161,1136,557,491,3,0
No symbiont,15,60000,host,0,0,0,1.21652e+06,21896,804,2275,1213,699,566,3,0
No symbiont,15,65000,host,0,0,0,1.2083e+06,18414,831,2376,1206,655,530,1,1
No symbiont,15,70000,host,0,0,0,1.20573e+06,24520,903,2680,1345,724,568,5,0
No symbiont,15,75000,host,0,0,0,1.17931e+06,26169,936,4474,1501,777,628,7,0
No symbiont,15,80000,host,0,0,0,1.16331e+06,24325,1103,2262,1685,918,621,8,0
No symbiont,15,85000,host,0,0,0,1.13998e+06,27351,1158,2568,2308,931,768,5,0
No symbiont,15,90000,host,0,0,0,1.1354e+06,34039,1256,2568,2549,998,716,13,1
No symbiont,15,95000,host,0,0,0,1.11394e+06,33533,1332,2734,2693,1049,722,12,1
No symbiont,15,100000,host,0,0,0,1.10093e+06,40183,1490,2963,2926,1145,802,15,3
No symbiont,15,105000,host,0,0,0,1.0569e+06,51199,1604,3253,2905,1181,823,11,0
No symbiont,15,110000,host,0,0,0,1.03913e+06,57204,2008,5196,3516,1214,754,17,0
No symbiont,15,115000,host,0,0,0,1.02484e+06,62565,1956,8354,6526,1249,787,14,1
No symbiont,15,120000,host,0,0,0,1.05229e+06,62969,1800,8897,3852,1317,800,21,4
No symbiont,15,125000,host,0,0,0,1.0543e+06,59795,1964,8592,3072,1457,774,23,1
No symbiont,15,130000,host,0,0,0,1.03035e+06,68612,2511,8501,2996,1546,822,30,3
No symbiont,15,135000,host,0,0,0,1.01019e+06,76504,3041,9470,3693,1598,860,28,3
No symbiont,15,140000,host,0,0,0,995472,76361,3118,11573,3901,1734,792,20,6
No symbiont,15,145000,host,0,0,0,971679,86745,3581,9640,3989,1714,852,35,4
No symbiont,15,150000,host,0,0,0,971156,94210,3841,10555,3996,1813,977,35,4
No symbiont,15,155000,host,0,0,0,989009,91442,4805,10471,3331,1859,1018,40,4
No symbiont,15,160000,host,0,0,0,995424,92032,3760,12028,3541,1926,1071,44,2
No symbiont,15,165000,host,0,0,0,983277,101398,4072,13683,3667,1983,1111,36,3
No symbiont,15,170000,host,0,0,0,995035,110367,3213,16139,3838,1915,998,55,6
No symbiont,15,175000,host,0,0,0,992627,108849,3552,23983,3873,1990,985,30,3
No symbiont,15,180000,host,0,0,0,955270,143044,5756,131521,4182,1902,907,36,6
No symbiont,15,185000,host,0,0,0,892813,196654,6203,392800,6640,1728,727,63,16
No symbiont,15,190000,host,0,0,0,658458,535367,758907,1.47542e+06,11459,2013,501,329,20
No symbiont,15,195000,host,0,0,0,217986,288315,2.27799e+06,258683,2332,647,217,223,12
No symbiont,15,200000,host,0,0,0,11557,21590,310075,236,129,69,22,26,1
No symbiont,16,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,16,5000,host,0,0,0,2.54331e+06,924,730,658,703,132,113,0,0
